"StudentID","Dropout","cohort","cohort.term","Marital.Status","Adjusted.Gross.Income","Parent.Adjusted.Gross.Income","Father.s.Highest.Grade.Level","Mother.s.Highest.Grade.Level","Housing","X2012.Loan","X2012.Scholarship","X2012.Work.Study","X2012.Grant","X2013.Loan","X2013.Scholarship","X2013.Work.Study","X2013.Grant","X2014.Loan","X2014.Scholarship","X2014.Work.Study","X2014.Grant","X2015.Loan","X2015.Scholarship","X2015.Work.Study","X2015.Grant","X2016.Loan","X2016.Scholarship","X2016.Work.Study","X2016.Grant","X2017.Loan","X2017.Scholarship","X2017.Work.Study","X2017.Grant"
20932,1,"2014-15",1,"Married",52555,0,"Unknown","Unknown","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21868,0,"2014-15",1,"Single",30600,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,4260,5500,0,0,2888,12500,0,0,0
21943,1,"2012-13",1,"Single",27879,0,"Unknown","High School","Off Campus",0,0,0,0,4998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22163,0,"2013-14",3,"Single",26794,0,"Unknown","College","Off Campus",0,0,0,0,0,0,0,0,1650,0,0,1411,2300,250,0,3582,5079,1000,0,3610,3500,3500,0,3635
22672,1,"2013-14",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250,0,0,2181
23538,0,"2013-14",3,"Single",28376,0,"College","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23548,0,"2012-13",1,"Single",34962,0,"High School","High School","Off Campus",0,0,0,0,7500,0,0,5300,10500,0,0,5495,10500,0,0,3885,0,0,0,0,0,0,0,0
23606,1,"2015-16",1,"Single",53445,0,"Middle School","Middle School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23897,0,"2014-15",1,"Single",14626,0,"High School","High School","With Parent",0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,6908,5500,0,0,5225,0,0,0,0
25893,1,"2012-13",1,"Married",25946,0,"Middle School","Middle School","On Campus Housing",0,0,0,0,8500,0,0,7366,5500,0,0,5645,7500,0,0,5014,12500,0,0,0,0,0,0,0
26047,0,"2014-15",1,"Single",12685,0,"College","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,5280,5500,0,0,9443,12500,0,0,10691
26359,0,"2015-16",1,"Single",7075,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,12255,12500,0,0,5815
26367,0,"2011-12",1,"Single",0,16257,"High School","College","With Parent",0,0,0,13138,0,0,0,13540,0,0,0,12933,0,0,0,13866,0,0,0,12571,0,0,0,13323
26404,1,"2011-12",1,"Single",0,-10918,"College","College","With Parent",5500,0,0,5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26660,1,"2011-12",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26846,1,"2011-12",1,"Single",40000,0,"High School","High School","Off Campus",7500,0,0,0,10500,0,0,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27743,0,"2014-15",1,"Single",0,0,"High School","College","With Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12116,0,0,0,5775,0,0,0,0
27936,1,"2015-16",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28117,1,"2015-16",1,"Single",0,105950,"Unknown","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28229,0,"2016-17",1,"Single",41771,0,"Middle School","Unknown","On Campus Housing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34500,0,0,0
28567,1,"2011-12",1,"Single",25094,0,"Middle School","Middle School","Off Campus",3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28848,1,"2014-15",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28925,1,"2012-13",1,"Single",7080,89240,"College","College","With Parent",0,0,0,0,0,0,0,0,0,0,0,0,2466,0,0,0,0,0,0,0,0,0,0,0
29164,0,"2011-12",1,"Single",27534,0,"High School","High School","Off Campus",0,0,0,2776,11896,0,0,4163,10500,0,0,4234,2750,0,0,2149,0,0,0,0,0,0,0,0
29716,1,"2012-13",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30174,1,"2011-12",3,"Married",108177,18000,"Middle School","Middle School","Off Campus",3250,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30292,0,"2016-17",1,"Married",91556,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30480,1,"2012-13",1,"Married",20107,0,"College","College","Off Campus",0,0,0,0,0,0,0,8742,9142,0,0,2823,12500,0,0,5022.25,9563,0,0,0,0,0,0,0
30767,1,"2011-12",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30985,0,"2014-15",1,"Single",27824,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,7500,0,0,4331,1456,0,0,1754
31126,1,"2015-16",1,"Single",0,0,"College","College","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363.67,0,0,0,0
31216,0,"2013-14",1,"Single",18522,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,1871,0,0,0,5730,0,0,0,0,0,0,0,0
31224,1,"2014-15",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31659,0,"2012-13",1,"Divorced",33951,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,1875,0,0,0,2398,0,0,0,2865,0,0,0,0,0,0,0,0
32175,1,"2011-12",1,"Single",0,0,"High School","High School","With Parent",3500,0,0,2082,3500,0,0,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32551,0,"2011-12",3,"Single",40033,0,"Unknown","Middle School","With Parent",0,0,0,1000,5500,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32781,1,"2012-13",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33332,1,"2011-12",1,"Single",23430,0,"Unknown","College","Off Campus",1750,0,0,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33370,0,"2012-13",1,"Single",15770,0,"Unknown","High School","Off Campus",0,0,0,0,10500,0,0,0,10500,0,0,0,6250,0,0,0,0,0,0,0,0,0,0,0
34166,0,"2014-15",3,"Single",22144,0,"High School","High School","With Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,1670,0,0,0,0
34272,0,"2013-14",1,"Single",23865,0,"Middle School","High School","Off Campus",0,0,0,0,0,0,0,0,10500,0,0,0,12500,0,0,0,5250,0,0,313,0,0,0,0
34380,1,"2012-13",3,"Married",15200,0,"High School","High School","Off Campus",0,0,0,0,4250,0,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34666,0,"2011-12",1,"Single",15295,82486,"High School","College","With Parent",0,10021,0,0,0,10421.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34919,0,"2012-13",1,"Single",0,0,"High School","Middle School","Off Campus",0,0,0,0,3750,1000,0,5820,8073,0,0,7303,6095,0,0,11894,0,0,0,0,0,0,0,0
35056,1,"2011-12",1,"Divorced",25479,0,"High School","High School","Off Campus",3500,0,0,8382,7000,0,0,7366,3750,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0
35315,1,"2011-12",1,"Married",72900,0,"High School","Middle School","Off Campus",6000,0,0,0,0,0,0,0,3750,0,0,3123,0,0,0,0,0,0,0,0,0,0,0,0
35433,1,"2013-14",1,"Single",0,89420,"High School","College","With Parent",0,0,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35803,1,"2013-14",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36082,1,"2013-14",3,"Single",18254,0,"Unknown","College","Off Campus",0,0,0,0,0,0,0,0,3500,0,0,2823,0,0,0,716,0,0,0,6128,0,0,0,6212
36438,1,"2011-12",3,"Single",0,12419,"High School","High School","With Parent",0,0,0,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,5250,0,0,4215
36945,1,"2011-12",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37218,0,"2015-16",1,"Separated",28153,0,"Unknown","Unknown","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7641,5500,0,0,4792
37630,0,"2011-12",1,"Single",38694,0,"Unknown","Unknown","Off Campus",6500,2000,0,3800,5500,2000,0,3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37639,1,"2012-13",1,"Married",36194,0,"High School","High School","Off Campus",0,0,0,0,7500,2000,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38319,0,"2012-13",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39414,1,"2011-12",1,"Single",7826,0,"High School","High School","Off Campus",9500,0,2000,11588,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39588,1,"2014-15",1,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40825,0,"2015-16",1,"Married",87624,0,"High School","High School","Off Campus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,0,0,0,10402,0,0,0
40904,1,"2013-14",3,"Unknown",0,0,"Unknown","Unknown","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
