"StudentID","Dropout","cohort","cohort term","Marital Status","Adjusted Gross Income","Parent Adjusted Gross Income","Father's Highest Grade Level","Mother's Highest Grade Level","Housing","2012 Loan","2012 Scholarship","2012 Work/Study","2012 Grant","2013 Loan","2013 Scholarship","2013 Work/Study","2013 Grant","2014 Loan","2014 Scholarship","2014 Work/Study","2014 Grant","2015 Loan","2015 Scholarship","2015 Work/Study","2015 Grant","2016 Loan","2016 Scholarship","2016 Work/Study","2016 Grant","2017 Loan","2017 Scholarship","2017 Work/Study","2017 Grant"
20932,1,"2014-15","1","Married",52555,0,"Unknown","Unknown","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21868,0,"2014-15","1","Single",30600,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,4260,5500,NA,NA,2888,12500,NA,NA,NA
21943,1,"2012-13","1","Single",27879,0,"Unknown","High School","Off Campus",NA,NA,NA,NA,4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22163,0,"2013-14","3","Single",26794,0,"Unknown","College","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,1411,2300,250,NA,3582,5079,1000,NA,3610,3500,3500,NA,3635
22672,1,"2013-14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,2181
23538,0,"2013-14","3","Single",28376,0,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23548,0,"2012-13","1","Single",34962,0,"High School","High School","Off Campus",NA,NA,NA,NA,7500,NA,NA,5300,10500,NA,NA,5495,10500,NA,NA,3885,NA,NA,NA,NA,NA,NA,NA,NA
23606,1,"2015-16","1","Single",53445,0,"Middle School","Middle School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23897,0,"2014-15","1","Single",14626,0,"High School","High School","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,6908,5500,NA,NA,5225,NA,NA,NA,NA
25893,1,"2012-13","1","Married",25946,0,"Middle School","Middle School","On Campus Housing",NA,NA,NA,NA,8500,NA,NA,7366,5500,NA,NA,5645,7500,NA,NA,5014,12500,NA,NA,NA,NA,NA,NA,NA
26047,0,"2014-15","1","Single",12685,0,"College","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,5280,5500,NA,NA,9443,12500,NA,NA,10691
26359,0,"2015-16","1","Single",7075,0,"High School","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,12255,12500,NA,NA,5815
26367,0,"2011-12","1","Single",0,16257,"High School","College","With Parent",NA,NA,NA,13138,NA,NA,NA,13540,NA,NA,NA,12933,NA,NA,NA,13866,NA,NA,NA,12571,NA,NA,NA,13323
26404,1,"2011-12","1","Single",0,-10918,"College","College","With Parent",5500,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26660,1,"2011-12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26846,1,"2011-12","1","Single",40000,0,"High School","High School","Off Campus",7500,NA,NA,NA,10500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27743,0,"2014-15","1","Single",0,0,"High School","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12116,NA,NA,NA,5775,NA,NA,NA,NA
27936,1,"2015-16","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28117,1,"2015-16","1","Single",0,105950,"Unknown","High School","Off Campus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28229,0,"2016-17","1","Single",41771,0,"Middle School","Unknown","On Campus Housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34500,NA,NA,NA
28567,1,"2011-12","1","Single",25094,0,"Middle School","Middle School","Off Campus",3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28848,1,"2014-15","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28925,1,"2012-13","1","Single",7080,89240,"College","College","With Parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29164,0,"2011-12","1","Single",27534,0,"High School","High School","Off Campus",NA,NA,NA,2776,11896,NA,NA,4163,10500,NA,NA,4234,2750,NA,NA,2149,NA,NA,NA,NA,NA,NA,NA,NA
29716,1,"2012-13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30174,1,"2011-12","3","Married",108177,18000,"Middle School","Middle School","Off Campus",3250,NA,NA,NA,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
