"StudentID","Dropout","cohort","cohort.term","Marital.Status","Adjusted.Gross.Income","Parent.Adjusted.Gross.Income","Father.s.Highest.Grade.Level","Housing","RegistrationDate","BirthYear","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus","complete_DevMath","complete_DevEnglish","final_Complete1","final_GPA","cohort_year","first_term_Major1","final_majorOne","total_Loan","total_Scholarship","total_Work_Study","total_Grant","race","overall_income"
20932,"1","2014-15",1,"Married",52555,0,"Unknown","Off Campus",20140825,1971,2,81,65,0,0,0,0,0,0,0,0,0,"2014",0,0,0,0,0,0,"Black",4.72061404042346
21868,"0","2014-15",1,"Single",30600,0,"High School","Off Campus",20140507,1980,2,71,66,0,0,0,0,0,0,0,7,3.82,"2014",13,13,4.40654018043396,0,0,3.85418454383361,"White",4.48572142648158
21943,"1","2012-13",1,"Single",27879,0,"Unknown","Off Campus",20120426,1982,2,81,81,0,0,0,0,0,0,0,0,0,"2012",26,26,3.69879625179043,0,0,0,"Hispanic",4.44527719186963
22163,"0","2013-14",3,"Single",26794,0,"Unknown","Off Campus",20131121,1982,2,91,81,0,0,0,0,0,0,0,0,3.3,"2013",52,52,4.09791640923733,3.67669360962487,0,4.08771044886063,"Black",4.42803755303531
22672,"1","2013-14",1,"Unknown",0,0,"Unknown","Unknown",20130827,1969,2,-1,96,0,0,0,0,0,0,0,0,3.21,"2013",52,52,3.79588001734408,0,0,3.3386556655787,"Black",0
23538,"0","2013-14",3,"Single",28376,0,"College","Off Campus",20140113,1981,2,-1,79,2,0,0,0,0,0,0,8,3.73,"2013",51,51,0,0,0,0,"Asian",4.45295117546389
23548,"0","2012-13",1,"Single",34962,0,"High School","Off Campus",20120731,1981,2,80,49,0,0,0,0,0,0,0,8,3.03,"2012",52,52,4.45484486000851,0,0,4.16672605558005,"White",4.54359626847379
23606,"1","2015-16",1,"Single",53445,0,"Middle School","Off Campus",20150817,1982,2,-1,79,0,0,0,0,0,0,0,0,0,"2015",51,51,0,0,0,0,"Hispanic",4.7279070814067
23897,"0","2014-15",1,"Single",14626,0,"High School","With Parent",20140619,1982,2,93,66,2,0,0,0,0,0,0,7,3.84,"2014",50,50,3.97772360528885,0,0,4.08396819759842,"Hispanic",4.16512556908823
25893,"1","2012-13",1,"Married",25946,0,"Middle School","On Campus Housing",20120731,1977,2,74,25,0,1,0,0,0,0,0,0,2.46,"2012",0,0,4.53147891704226,0,0,4.25587527339147,"Hispanic",4.4140704137518
